"tenure","age","marital","address","ed","employ","retire","gender","reside","custcat","churn"
"13","44","1","9","4","5","0.00","0","2","1","1"
"11","33","1","7","5","5","0.00","0","6","4","1"
"68","52","1","24","1","29","0.00","1","2","3","0"
"33","33","0","12","2","0","0.00","1","1","1","1"
"23","30","1","9","1","2","0.00","0","4","3","0"
"41","39","0","17","2","16","0.00","1","1","3","0"
"45","22","1","2","2","4","0.00","1","5","2","1"
"38","35","0","5","2","10","0.00","0","3","4","0"
"45","59","1","7","4","31","0.00","0","5","3","0"
"68","41","1","21","1","22","0.00","0","3","2","0"
"5","33","0","10","4","5","0.00","1","1","1","1"
"7","35","0","14","2","15","0.00","1","1","3","0"
"41","38","1","8","2","9","0.00","1","3","1","0"
"57","54","1","30","4","23","0.00","1","3","4","1"
"9","46","0","3","1","8","0.00","1","2","1","0"
"29","38","1","12","5","1","0.00","0","4","2","0"
"60","57","0","38","2","30","0.00","0","1","3","0"
"34","48","0","3","2","6","0.00","1","3","3","0"
"1","24","0","3","1","3","0.00","0","1","1","0"
"26","29","1","3","4","2","0.00","0","4","4","1"
"6","30","0","7","3","1","0.00","1","1","2","1"
"68","52","1","17","1","24","0.00","0","2","1","0"
"53","33","0","10","5","4","0.00","1","2","4","0"
"55","48","1","19","1","25","0.00","0","3","1","0"
"14","43","1","18","1","5","0.00","0","5","3","0"
"1","21","0","0","2","0","0.00","1","3","3","0"
"42","40","0","7","2","8","0.00","1","1","4","0"
"25","33","1","11","1","5","0.00","0","4","3","0"
"9","21","1","1","2","2","0.00","1","3","1","0"
"13","33","1","9","4","0","0.00","1","2","2","0"
"56","37","1","6","1","13","0.00","1","2","2","0"
"71","53","1","27","5","12","0.00","0","2","4","0"
"35","50","1","26","2","21","0.00","1","4","3","0"
"11","27","1","8","5","0","0.00","0","3","2","0"
"60","46","1","13","3","24","0.00","0","2","4","0"
"20","35","1","11","4","0","0.00","0","2","2","1"
"54","60","0","38","4","25","0.00","0","1","4","0"
"44","57","1","1","2","17","0.00","0","2","3","0"
"11","41","1","0","1","1","0.00","1","2","3","1"
"72","57","0","34","2","35","1.00","1","1","3","0"
"10","41","0","7","1","7","0.00","0","1","3","0"
"15","28","0","0","2","4","0.00","1","1","3","0"
"27","28","1","4","2","8","0.00","0","5","1","0"
"9","36","1","14","4","10","0.00","0","6","4","1"
"64","43","1","20","4","20","0.00","1","4","3","0"
"65","41","1","3","4","16","0.00","0","2","2","0"
"49","51","1","27","4","19","0.00","0","5","2","0"
"47","41","1","0","4","8","0.00","0","2","4","1"
"9","34","1","9","2","8","0.00","1","4","1","1"
"5","36","0","14","2","9","0.00","1","1","3","1"
"30","34","1","4","2","1","0.00","0","5","1","1"
"56","52","1","28","2","12","0.00","0","4","2","0"
"10","22","0","0","4","0","0.00","0","1","4","0"
"7","26","1","3","2","2","0.00","0","5","1","0"
"52","27","0","6","3","5","0.00","0","2","1","0"
"36","45","1","1","2","18","0.00","1","5","1","1"
"27","34","0","8","3","4","0.00","1","1","2","0"
"58","62","1","36","1","0","0.00","0","2","1","0"
"41","52","0","27","2","2","0.00","1","1","3","0"
"47","40","1","16","4","12","0.00","1","4","2","0"
"55","39","1","15","2","20","0.00","1","2","3","1"
"56","50","1","1","2","24","0.00","1","4","4","0"
"35","55","0","24","2","2","0.00","0","1","1","0"
"69","51","1","11","4","23","0.00","1","2","4","0"
"44","39","0","16","2","16","0.00","0","1","4","1"
"36","47","1","16","1","23","0.00","0","2","1","0"
"28","51","1","22","3","10","0.00","1","6","3","0"
"72","67","1","44","1","34","1.00","0","2","3","0"
"16","27","0","5","3","5","0.00","0","4","1","0"
"3","43","0","19","4","11","0.00","1","1","1","1"
"40","57","1","15","2","9","0.00","0","2","1","0"
"16","39","0","6","4","3","0.00","1","1","2","0"
"20","42","0","4","3","5","0.00","0","1","1","0"
"48","43","0","13","5","15","0.00","1","3","2","0"
"64","48","1","13","2","24","0.00","0","2","3","0"
"8","46","0","3","2","8","0.00","0","1","1","0"
"40","38","1","10","3","12","0.00","0","2","3","1"
"38","71","0","27","2","12","1.00","0","1","1","0"
"67","68","0","28","1","47","0.00","1","1","3","0"
"26","42","0","0","4","15","0.00","1","1","4","0"
"41","34","1","15","5","1","0.00","1","2","4","0"
